Date;Price;Open;High;Low;Vol.;Change;Vol
May132020;9298.7;8813.9;9384.6;8799.1;1.5;0.055;1500000
May122020;8813.8;8569.8;8964.5;8542.8;1.35;0.0273;1350000
May112020;8579.8;8737.6;9129.6;8235.6;2.29;-0.0182;2290000
May102020;8738.8;9553.9;9569.4;8259.3;2.47;-0.0854;2470000
May092020;9554.6;9806;9910.5;9533.6;1.49;-0.0257;1490000
May082020;9806.2;9980.1;10018.2;9731.4;1.42;-0.0174;1420000
May072020;9979.8;9152.7;10033;9064.8;1.91;0.0905;1910000
May062020;9151.4;9000.6;9373.7;8923.6;1.62;0.0167;1620000
May052020;9001;8874.2;9078.7;8800.4;1.05;0.0142;1050000
May042020;8874.7;8885.5;8945.5;8553.2;1.12;-0.0012;1120000
May032020;8885.5;8966.2;9169.9;8742.2;1.15;-0.009;1150000
May022020;8966.3;8821.6;8986.2;8771.3;890.34;0.0164;890340
May012020;8821.6;8628.6;9040.3;8621;1.11;0.0223;1110000
Apr302020;8629;8770.6;9437.5;8425.5;2.04;-0.0162;2040000
Apr292020;8770.9;7746.7;8918.5;7729.7;1.83;0.1322;1830000
Apr282020;7746.9;7766;7770.1;7655.3;808.09;-0.0025;808090
Apr272020;7766;7679.4;7768.5;7637.7;980.5;0.0113;980500
Apr262020;7678.9;7540.4;7679.4;7520.5;921.59;0.0184;921590
Apr252020;7540.4;7503.9;7684.6;7451;861.93;0.0049;861930
Apr242020;7503.8;7491.3;7583.5;7423.5;951.95;0.002;951950
Apr232020;7488.5;7112.8;7655.4;7036.5;1.34;0.0528;1340000
Apr222020;7112.9;6842.5;7137.4;6821.8;914.18;0.0395;914180
Apr212020;6842.5;6833.4;6919.3;6774.3;892.57;0.0013;892570
Apr202020;6833.5;7122.9;7207.5;6771.2;1.26;-0.0406;1260000
Apr192020;7122.9;7230.9;7238;7079.1;5.93;-0.0149;5930000
Apr182020;7230.8;7035.9;7259.4;7031.5;796.45;0.0277;796450
Apr172020;7035.8;7085.5;7142.8;7005.8;810.1;-0.007;810100
Apr162020;7085.6;6629.1;7159.7;6520.5;1.54;0.0689;1540000
Apr152020;6629.1;6851.3;6929.5;6615.9;1;-0.0324;1000000
Apr142020;6850.9;6841.8;6970.8;6768.6;999.53;0.0014;999530
Apr132020;6841.3;6918.1;6920.3;6618.5;1.25;-0.011;1250000
Apr122020;6917.6;6867.9;7158.8;6785.1;1.1;0.0073;1100000
Apr112020;6867.8;6862.7;6931.4;6765.1;845.58;0.0007;845580
Apr102020;6863.1;7289;7294.4;6756.1;1.37;-0.0584;1370000
Apr092020;7289;7361.1;7361.1;7140.3;963.55;-0.0098;963550
Apr082020;7361.2;7185.6;7396.1;7153.1;983.94;0.0245;983940
